Date,NTPC.NS,POWERGRID.NS,ADANIPOWER.NS,NHPC.NS,TATAPOWER.NS,GMRINFRA.NS,JSWENERGY.NS,TORNTPOWER.NS,ADANIGREEN.NS,ADANITRANS.NS,RELINFRA.NS,CESC.NS,SJVN.NS,KEC.NS,PTC.NS,THERMAX.NS,CGPOWER.NS,RTNPOWER.NS,INDOWIND.NS
2024-01-25,309.265380859375,239.47183227539062,543.2999877929688,81.6217269897461,363.41693115234375,77.05000305175781,486.0484924316406,988.3814086914062,1664.800048828125,,215.25,129.10818481445312,115.36256408691406,613.0618286132812,229.5500030517578,3108.032470703125,461.7561950683594,10.199999809265137,28.75
2024-01-29,318.89459228515625,247.71434020996094,570.4500122070312,85.19818878173828,380.13946533203125,78.19999694824219,494.67010498046875,991.3934936523438,1715.5,,227.9499969482422,134.72579956054688,127.99349975585938,620.7754516601562,237.14999389648438,3099.6513671875,465.6947021484375,10.699999809265137,30.149999618530273
2024-01-30,309.95318603515625,247.8606719970703,558.2999877929688,85.83509063720703,381.4832763671875,78.80000305175781,488.3409729003906,995.4426879882812,1679.449951171875,,231.5500030517578,138.64842224121094,126.75517272949219,625.8017578125,241.75,3076.404052734375,460.41009521484375,11.199999809265137,31.649999618530273
2024-01-31,311.96746826171875,252.93296813964844,562.7000122070312,89.11759185791016,387.95330810546875,78.3499984741211,503.09234619140625,1027.094970703125,1669.449951171875,,231.0500030517578,138.60000610351562,130.56922912597656,654.5662841796875,239.5500030517578,3174.0322265625,467.1903381347656,11.0,33.20000076293945
2024-02-01,316.3890380859375,259.27337646484375,564.3499755859375,89.55853271484375,387.0574645996094,79.0999984741211,490.0353698730469,1038.649658203125,1665.949951171875,,224.60000610351562,140.10000610351562,126.35891723632812,657.7014770507812,240.6999969482422,3129.08447265625,455.4245910644531,10.449999809265137,32.54999923706055
2024-02-02,326.7060852050781,270.2958984375,559.4000244140625,98.6221694946289,388.0030517578125,85.19999694824219,481.3141174316406,1051.093505859375,1674.25,,221.9499969482422,137.6999969482422,140.92164611816406,663.076171875,244.0,3087.828369140625,446.70001220703125,10.699999809265137,31.899999618530273
2024-02-05,330.24334716796875,275.9534606933594,546.2999877929688,101.56172943115234,392.1837158203125,87.3499984741211,491.28125,1107.1392822265625,1668.6500244140625,,214.5,142.4499969482422,146.91514587402344,649.141845703125,235.6999969482422,3117.76025390625,439.6499938964844,11.050000190734863,31.299999237060547
2024-02-06,331.5827941894531,267.515869140625,549.7000122070312,99.21007537841797,391.1385498046875,88.1500015258789,490.0353698730469,1150.395751953125,1721.6500244140625,,214.9499969482422,139.8000030517578,145.57774353027344,656.0094604492188,243.6999969482422,3232.798583984375,444.95001220703125,11.600000381469727,30.700000762939453
2024-02-07,328.1101989746094,261.37060546875,569.7000122070312,100.63086700439453,393.3283996582031,90.80000305175781,492.32781982421875,1136.0263671875,1866.0,,216.4499969482422,138.64999389648438,145.52821350097656,650.1868896484375,242.1999969482422,3277.6962890625,437.20001220703125,12.149999618530273,30.100000381469727
2024-02-08,328.30859375,269.4179992675781,563.7000122070312,99.45503997802734,405.5219421386719,90.1500015258789,505.1854553222656,1189.3563232421875,1827.949951171875,,213.4499969482422,138.75,149.24319458007812,657.5521850585938,238.14999389648438,3201.4697265625,431.95001220703125,11.550000190734863,29.5
2024-02-09,322.3555908203125,266.29656982421875,569.5,94.3108139038086,390.29248046875,88.8499984741211,498.55731201171875,1158.8890380859375,1880.699951171875,,213.0,134.5500030517578,139.23751831054688,655.7606201171875,227.0,3342.598876953125,432.45001220703125,11.0,28.950000762939453
2024-02-12,313.6741027832031,263.6628723144531,561.8499755859375,79.3680648803711,360.0326232910156,85.5999984741211,495.5671691894531,1116.471923828125,1842.5999755859375,,202.25,122.25,111.39991760253906,651.9286499023438,192.1999969482422,3304.03662109375,439.45001220703125,10.449999809265137,28.399999618530273
2024-02-13,319.0318298339844,263.6141052246094,562.0999755859375,84.07135772705078,363.3671569824219,89.8499984741211,485.4504699707031,1105.4603271484375,1815.550048828125,,210.14999389648438,123.69999694824219,107.14007568359375,669.5457153320312,190.10000610351562,3314.612548828125,436.1499938964844,10.149999618530273,27.850000381469727
2024-02-14,325.43133544921875,266.93060302734375,563.9000244140625,86.76595306396484,371.977294921875,89.8499984741211,478.1246337890625,1116.768310546875,1852.25,,229.14999389648438,128.1999969482422,119.42428588867188,692.3881225585938,190.85000610351562,3354.771240234375,437.45001220703125,10.649999618530273,27.299999237060547
2024-02-15,336.5932312011719,279.3275451660156,561.8499755859375,90.7343521118164,377.1035461425781,90.3499984741211,482.55999755859375,1193.4547119140625,1900.75,,234.35000610351562,133.60000610351562,123.78318786621094,685.7692260742188,199.35000610351562,3450.902587890625,438.6000061035156,10.699999809265137,26.75
2024-02-16,335.10498046875,272.28607177734375,563.75,90.97931671142578,374.5652770996094,89.25,478.8721618652344,1170.562255859375,1904.75,,225.25,132.14999389648438,119.37474822998047,665.4151611328125,195.3000030517578,3427.505859375,430.1000061035156,10.600000381469727,26.25
2024-02-19,336.0971374511719,274.0712585449219,567.6500244140625,94.84973907470703,378.7459411621094,92.0999984741211,497.61041259765625,1177.4947509765625,1955.050048828125,,242.85000610351562,130.0,125.12059020996094,664.2705688476562,200.5500030517578,3479.138427734375,436.29998779296875,10.600000381469727,25.75
2024-02-20,342.9927062988281,285.5260009765625,553.6500244140625,92.89002990722656,377.2030944824219,90.5999984741211,488.98883056640625,1147.52001953125,1926.6500244140625,,241.1999969482422,130.5,122.0,652.2272338867188,195.85000610351562,3503.682373046875,436.25,10.350000381469727,25.25
2024-02-21,333.4678955078125,277.79034423828125,540.75,90.7833480834961,373.71923828125,86.25,483.058349609375,1121.88427734375,1904.949951171875,,233.0,128.35000610351562,120.80000305175781,652.0780029296875,188.64999389648438,3536.15869140625,425.95001220703125,10.149999618530273,24.75
2024-02-22,336.890869140625,280.26971435546875,562.25,93.61876678466797,376.1579284667969,87.6500015258789,486.3973693847656,1116.447998046875,1922.6500244140625,,229.4499969482422,130.14999389648438,121.5999984741211,660.4385986328125,195.0500030517578,3713.255859375,424.6000061035156,10.300000190734863,24.25
2024-02-23,335.10498046875,279.6250915527344,559.0499877929688,91.18130493164062,376.6556091308594,88.3499984741211,505.1854553222656,1123.0814208984375,1923.300048828125,,228.5,129.35000610351562,119.5,673.5767211914062,197.3000030517578,3731.364990234375,433.70001220703125,10.300000190734863,24.600000381469727
