Date,HINDUNILVR.NS,NESTLEIND.NS,BRITANNIA.NS,DABUR.NS,GODREJCP.NS,MARICO.NS,COLPAL.NS,EMAMILTD.NS,PGHH.NS,VBL.NS,JUBLFOOD.NS,UBL.NS,MCDOWELL-N.NS,RADICO.NS,BAJAJCON.NS,GILLETTE.NS,TATACONSUM.NS,ITC.NS,DMART.NS,FCONSUMER.NS
2022-04-26,2062.843994140625,1798.139404296875,3217.74072265625,546.9442749023438,781.1303100585938,516.0326538085938,1543.678466796875,472.997314453125,13549.333984375,354.09759521484375,542.6178588867188,1507.729248046875,,860.8956298828125,158.55252075195312,4981.4638671875,801.2694091796875,239.7263641357422,4044.25,3.4000000953674316
2022-04-27,2059.723388671875,1779.3192138671875,3184.87353515625,546.8954467773438,779.3590698242188,515.6434326171875,1554.1278076171875,468.2205810546875,13628.390625,342.77056884765625,528.611572265625,1482.05126953125,,889.2958984375,160.29124450683594,4973.82861328125,778.4121704101562,238.3839874267578,3977.699951171875,2.75
2022-04-28,2152.622802734375,1799.306396484375,3203.620361328125,559.0084228515625,790.1835327148438,528.0017700195312,1564.5299072265625,473.6728515625,14125.7119140625,350.4266662597656,538.9920654296875,1544.7215576171875,,899.8715209960938,158.08261108398438,4962.984375,791.13232421875,241.71676635742188,4024.550048828125,2.5
2022-04-29,2145.9013671875,1789.796142578125,3128.584228515625,543.8182983398438,769.912353515625,507.6640625,1571.7496337890625,474.5413513183594,13746.705078125,358.3472900390625,542.3694458007812,1560.2662353515625,,893.5658569335938,157.51870727539062,5120.98486328125,802.9264526367188,240.2817840576172,3944.25,2.25
2022-05-02,2141.724365234375,1800.5611572265625,3120.99951171875,544.3067626953125,759.5306396484375,508.831787109375,1560.7774658203125,473.2385559082031,13518.2607421875,365.3914794921875,543.6111450195312,1528.29150390625,,871.2229614257812,156.5318603515625,5054.36083984375,803.5599975585938,243.6145477294922,3983.35009765625,2.4000000953674316
2022-05-04,2085.120849609375,1766.11328125,3229.90478515625,525.599853515625,743.4908447265625,505.5718994140625,1535.8887939453125,467.6898193359375,13184.4423828125,360.4803771972656,517.3866577148438,1475.2628173828125,,845.7025146484375,156.29689025878906,4953.69580078125,782.993408203125,240.4669647216797,3867.14990234375,2.5999999046325684
2022-05-05,2080.367919921875,1718.8546142578125,3126.4375,516.8080444335938,749.8870849609375,505.7665100097656,1512.1160888671875,466.86956787109375,13216.3984375,363.5560607910156,509.68817138671875,1459.816650390625,,844.06396484375,153.66531372070312,4939.3984375,756.7246704101562,242.59619140625,3943.800048828125,2.8499999046325684
2022-05-06,2063.66015625,1659.4595947265625,3155.822509765625,498.98040771484375,744.0320434570312,490.0997009277344,1521.7406005859375,458.1845397949219,13484.1494140625,355.7181091308594,493.24822998046875,1457.701171875,,824.6008911132812,152.06756591796875,4915.5205078125,745.6129150390625,246.85472106933594,3666.199951171875,2.6500000953674316
2022-05-09,2032.40576171875,1611.5078125,3102.6337890625,492.875,745.2621459960938,476.28173828125,1521.8369140625,455.6755065917969,13403.57421875,350.19512939453125,486.2947998046875,1443.0421142578125,,803.10205078125,142.90403747558594,4836.69091796875,739.082275390625,243.4293975830078,3520.300048828125,2.5999999046325684
2022-05-10,2093.618408203125,1613.0946044921875,3097.38671875,490.92132568359375,758.9894409179688,488.542724609375,1530.210205078125,455.86846923828125,13339.2705078125,357.7685241699219,476.6593017578125,1434.43359375,,798.931396484375,142.8570556640625,4729.26611328125,726.9469604492188,240.4669647216797,3414.949951171875,2.4000000953674316
2022-05-11,2077.39111328125,1612.2939453125,3110.07568359375,495.3659973144531,768.2886352539062,488.25079345703125,1516.8321533203125,457.509033203125,13218.408203125,347.05328369140625,465.4344177246094,1440.3858642578125,,772.9143676757812,137.49990844726562,4767.34375,725.2899169921875,236.6713104248047,3339.699951171875,2.200000047683716
2022-05-12,2053.674072265625,1583.7435302734375,3069.051513671875,486.8185119628906,758.9403076171875,486.6938171386719,1506.630126953125,434.97613525390625,13150.0361328125,351.9644470214844,465.73248291015625,1432.7611083984375,,734.6336059570312,133.2235870361328,4718.810546875,719.3928833007812,234.12548828125,3270.449951171875,2.1500000953674316
2022-05-13,2106.773193359375,1601.60693359375,3127.86865234375,489.2117614746094,784.4761352539062,486.5965270996094,1542.2890625,412.7327880859375,13087.4970703125,360.82763671875,472.1395568847656,1404.5740966796875,,755.288330078125,139.47357177734375,4722.701171875,718.9541625976562,239.40232849121094,3230.60009765625,2.200000047683716
2022-05-16,2129.001953125,1583.631103515625,3133.974609375,485.3043212890625,784.6237182617188,482.2662658691406,1521.788818359375,425.4708251953125,13018.0478515625,365.2427062988281,482.6690673828125,1412.2479248046875,,823.359619140625,138.11080932617188,4742.68798828125,716.9073486328125,235.23638916015625,3561.10009765625,2.299999952316284
2022-05-17,2155.647216796875,1593.839599609375,3214.067626953125,490.23748779296875,806.5185546875,489.51580810546875,1516.20654296875,422.52752685546875,12965.06640625,367.0616149902344,492.2052307128906,1472.212890625,,824.3526611328125,139.8965301513672,4750.27392578125,715.6889038085938,245.0495147705078,3657.0,2.4000000953674316
2022-05-18,2200.20068359375,1595.81201171875,3238.39599609375,498.0035400390625,817.146240234375,509.6589050292969,1545.75390625,415.04876708984375,12755.0517578125,364.8458557128906,486.6921691894531,1474.91845703125,,819.4371948242188,137.17095947265625,4734.3720703125,735.2320556640625,246.99356079101562,3664.050048828125,2.5
2022-05-19,2174.419189453125,1571.4652099609375,3178.95849609375,480.71307373046875,782.901611328125,496.7654113769531,1505.860107421875,395.9898986816406,12729.2216796875,350.9392395019531,478.49700927734375,1435.0238037109375,,815.0182495117188,138.6747283935547,4719.5888671875,703.0662231445312,255.1865997314453,3614.85009765625,2.4000000953674316
2022-05-20,2233.375244140625,1646.4290771484375,3291.727783203125,491.7027587890625,746.29541015625,514.3297729492188,1527.322998046875,409.4517517089844,12916.740234375,364.89544677734375,484.3080749511719,1452.8804931640625,,833.6373901367188,140.3194580078125,4748.7666015625,720.9036865234375,259.213623046875,3630.39990234375,2.3499999046325684
2022-05-23,2285.082275390625,1659.34716796875,3326.8369140625,494.5845031738281,740.5387573242188,517.3463745117188,1525.5423583984375,399.2709655761719,13120.923828125,356.8590393066406,482.1723937988281,1440.041259765625,,818.7421264648438,136.88900756835938,4773.568359375,711.2539672851562,254.12196350097656,3574.10009765625,2.25
2022-05-24,2217.72412109375,1678.1724853515625,3310.99951171875,490.5305480957031,750.7728271484375,514.4757690429688,1492.81884765625,399.3191833496094,12960.068359375,366.7804870605469,474.9706115722656,1438.0245361328125,,819.238525390625,136.0431365966797,4722.1171875,697.07177734375,250.74293518066406,3656.75,2.1500000953674316
2022-05-25,2207.2099609375,1687.609619140625,3354.933837890625,483.00872802734375,742.802001953125,507.7613525390625,1512.260498046875,389.1383972167969,12971.5849609375,351.7329406738281,461.3616943359375,1406.9844970703125,,782.9934692382812,130.77996826171875,4717.7890625,698.0952758789062,252.45558166503906,3586.449951171875,2.1500000953674316
2022-05-26,2189.446044921875,1723.61474609375,3397.34130859375,486.3300476074219,767.5014038085938,515.88671875,1548.641357421875,391.4543762207031,12786.9091796875,354.09759521484375,483.6127624511719,1451.453857421875,,780.808837890625,129.74615478515625,4695.66259765625,703.9922485351562,252.69247436523438,3577.449951171875,2.25
2022-05-27,2237.840576171875,1722.496826171875,3394.1455078125,486.1835632324219,771.585205078125,511.9456787109375,1532.5201416015625,395.3626708984375,13162.7314453125,360.3481140136719,513.31396484375,1453.4708251953125,,809.7056274414062,129.27622985839844,4730.43310546875,707.1113891601562,255.06112670898438,3613.85009765625,2.200000047683716
2022-05-30,2255.4599609375,1728.926513671875,3411.9384765625,498.29656982421875,783.7872924804688,521.433349609375,1548.4488525390625,403.8064880371094,13109.6025390625,359.73626708984375,563.0807495117188,1514.321044921875,,810.0531616210938,128.80630493164062,4731.94091796875,731.1870727539062,254.9190216064453,3796.39990234375,2.0999999046325684
2022-05-31,2259.5888671875,1727.4228515625,3480.201171875,506.9906921386719,754.7089233398438,519.2926025390625,1566.1099853515625,401.7799377441406,13545.806640625,349.40142822265625,547.2864990234375,1517.46923828125,,798.782470703125,128.05442810058594,4758.34716796875,740.5443115234375,256.43499755859375,3972.800048828125,2.049999952316284
2022-06-01,2216.572021484375,1683.4891357421875,3388.135009765625,505.5741271972656,753.5772094726562,506.2530517578125,1562.8856201171875,404.33721923828125,13827.23046875,366.79705810546875,552.3029174804688,1509.106689453125,,789.3488159179688,132.84765625,4760.681640625,741.8601684570312,257.572021484375,3874.050048828125,2.0999999046325684
2022-06-02,2193.86328125,1698.3548583984375,3412.70166015625,509.628173828125,756.8245849609375,503.8203430175781,1530.0177001953125,407.4735107421875,14080.9150390625,376.6854248046875,548.6771850585938,1514.763916015625,,781.05712890625,134.39842224121094,4754.796875,739.082275390625,259.13531494140625,3856.89990234375,2.1500000953674316
2022-06-03,2200.728515625,1676.6004638671875,3367.8134765625,502.0574951171875,751.1663818359375,499.6360168457031,1504.1275634765625,414.4215087890625,13723.2275390625,363.9364013671875,539.7867431640625,1494.5458984375,,779.5675659179688,132.0957794189453,4762.38330078125,734.8422241210938,258.3772888183594,3820.10009765625,2.0999999046325684
2022-06-06,2189.734619140625,1659.60107421875,3331.51171875,496.831298828125,748.0175170898438,498.9548645019531,1477.804443359375,408.7279968261719,13812.380859375,363.64697265625,527.5188598632812,1495.628173828125,,779.0711059570312,131.48486328125,4800.7529296875,744.345703125,260.36700439453125,3734.75,2.1500000953674316
2022-06-07,2123.57666015625,1635.1905517578125,3227.996826171875,489.6513977050781,737.8327026367188,485.47747802734375,1461.2020263671875,403.17919921875,13584.671875,368.63250732421875,519.0753784179688,1468.9169921875,,778.4256591796875,130.07508850097656,4794.333984375,737.473876953125,259.5142822265625,3726.699951171875,2.1500000953674316
2022-06-08,2109.605712890625,1632.9302978515625,3207.05517578125,483.3506164550781,736.1597900390625,478.0819396972656,1458.026123046875,402.4072265625,13577.3193359375,369.4510498046875,512.9166259765625,1458.2423095703125,,807.3224487304688,128.90028381347656,4796.9111328125,738.0100708007812,253.8293914794922,3739.39990234375,2.0999999046325684
2022-06-09,2110.229736328125,1637.265380859375,3193.4599609375,486.1346740722656,750.7728271484375,483.2879943847656,1461.2020263671875,398.064697265625,13392.10546875,367.0947570800781,521.3600463867188,1474.8692626953125,,822.118408203125,128.85330200195312,4809.35986328125,741.1792602539062,256.62451171875,3830.35009765625,2.200000047683716
2022-06-10,2112.342041015625,1637.9248046875,3206.43505859375,490.6282653808594,737.9802856445312,479.2983093261719,1460.143310546875,407.23223876953125,13289.6708984375,374.28778076171875,521.2110595703125,1475.31201171875,,803.995849609375,130.31005859375,4818.4541015625,743.3406372070312,255.96124267578125,3755.64990234375,2.299999952316284
2022-06-13,2109.461669921875,1645.692138671875,3204.669921875,486.28118896484375,726.5161743164062,486.6938171386719,1460.143310546875,404.6267395019531,13083.478515625,371.088134765625,514.456298828125,1468.9169921875,,786.3698120117188,127.02058410644531,4812.7158203125,723.0525512695312,250.75010681152344,3661.60009765625,2.4000000953674316
2022-06-14,2084.5927734375,1647.35205078125,3227.42431640625,484.18096923828125,725.3353271484375,486.3532409667969,1451.09619140625,399.7052001953125,13203.4111328125,383.8123779296875,513.6615600585938,1435.7618408203125,,781.5536499023438,124.20103454589844,4822.78271484375,722.9542846679688,251.5081024169922,3648.300048828125,2.5
2022-06-15,2079.3134765625,1640.5999755859375,3229.857177734375,484.8159484863281,729.9603271484375,480.5146484375,1459.614013671875,401.63519287109375,13107.3466796875,390.3357238769531,520.6647338867188,1436.450439453125,,810.1028442382812,123.21420288085938,4830.51416015625,724.821044921875,249.56576538085938,3662.89990234375,2.4000000953674316
