Date,RELIANCE.NS,BHARTIARTL.NS,ZEEL.NS,SUNTV.NS,DISHTV.NS,HATHWAY.NS,TV18BRDCST.NS,NETWORK18.NS,DEN.NS,SITINET.NS,INOXLEISUR.NS,EROSMEDIA.NS,UFO.NS,JAGRAN.NS,DBCORP.NS,RADIOCITY.NS,ENIL.NS,NEXTMEDIA.NS,TVTODAY.NS
2020-10-08,2038.8021240234375,410.59942626953125,200.75343322753906,420.7553405761719,13.550000190734863,31.600000381469727,30.200000762939453,35.95000076293945,81.9000015258789,1.2999999523162842,281.45001220703125,20.200000762939453,76.5999984741211,34.4904899597168,63.74947738647461,18.25,149.801025390625,3.9000000953674316,149.8092803955078
2020-10-09,2033.5213623046875,411.3249206542969,195.53717041015625,414.8488464355469,13.449999809265137,31.700000762939453,30.100000381469727,34.849998474121094,81.4000015258789,1.25,284.1499938964844,20.299999237060547,75.9000015258789,34.20778274536133,62.85445785522461,17.850000381469727,145.8226776123047,3.75,149.54412841796875
2020-10-12,2036.799072265625,401.5061340332031,185.10462951660156,405.4255676269531,13.149999618530273,33.25,29.899999618530273,34.79999923706055,92.9000015258789,1.2000000476837158,279.3500061035156,20.149999618530273,74.80000305175781,35.008792877197266,62.325584411621094,18.049999237060547,145.5279998779297,3.75,148.86233520507812
2020-10-13,2076.5419921875,401.74798583984375,177.88958740234375,399.1134033203125,12.850000381469727,34.25,29.899999618530273,35.04999923706055,88.80000305175781,1.149999976158142,277.8999938964844,20.0,74.80000305175781,34.066429138183594,61.430572509765625,17.75,144.69305419921875,3.9000000953674316,149.16534423828125
2020-10-14,2082.733154296875,399.764892578125,181.5458526611328,396.2728271484375,12.649999618530273,33.849998474121094,29.600000381469727,34.099998474121094,87.0999984741211,1.100000023841858,279.95001220703125,19.899999618530273,75.80000305175781,34.01930618286133,62.65105056762695,17.399999618530273,144.6439208984375,4.050000190734863,147.7259521484375
2020-10-15,2008.98388671875,386.1733703613281,175.4520721435547,389.1490173339844,11.899999618530273,32.25,28.850000381469727,33.349998474121094,82.0999984741211,1.0499999523162842,273.45001220703125,20.75,75.4000015258789,34.20778274536133,62.284912109375,17.350000381469727,141.8934783935547,4.25,149.27899169921875
2020-10-16,1981.0321044921875,388.54339599609375,171.3083038330078,392.0797424316406,13.0,31.399999618530273,28.549999237060547,33.099998474121094,78.0,1.0,273.04998779296875,19.799999237060547,74.44999694824219,34.16066360473633,61.26784133911133,17.700000762939453,140.5673828125,4.449999809265137,150.2259521484375
2020-10-19,1981.39599609375,384.7223205566406,169.84579467773438,385.046142578125,12.699999809265137,30.0,27.850000381469727,32.79999923706055,74.8499984741211,0.949999988079071,267.29998779296875,20.75,74.5999984741211,34.34913635253906,61.26784133911133,18.100000381469727,136.83462524414062,4.449999809265137,148.7108154296875
2020-10-20,1962.9134521484375,391.7840881347656,178.4258270263672,386.6241455078125,12.649999618530273,29.799999237060547,27.799999237060547,32.79999923706055,72.5,0.8999999761581421,266.6499938964844,21.700000762939453,73.5,34.113548278808594,61.71534729003906,17.850000381469727,137.12933349609375,4.650000095367432,149.4683837890625
2020-10-21,1934.415283203125,405.3272705078125,176.03707885742188,384.9559326171875,12.399999618530273,29.799999237060547,27.850000381469727,32.95000076293945,73.05000305175781,0.8500000238418579,265.25,21.850000381469727,73.0999984741211,33.59524917602539,61.06442642211914,17.299999237060547,135.7541046142578,4.849999904632568,152.1956329345703
2020-10-22,1918.3450927734375,416.59710693359375,178.91334533691406,387.9768371582031,12.25,31.25,29.200000762939453,34.099998474121094,74.0,0.800000011920929,262.29998779296875,21.25,73.19999694824219,34.82032012939453,61.10511016845703,17.799999237060547,136.53993225097656,5.0,151.7789764404297
2020-10-23,1923.8990478515625,420.2247314453125,181.20460510253906,386.3086242675781,12.199999809265137,30.450000762939453,30.049999237060547,36.099998474121094,73.4000015258789,0.8500000238418579,264.6499938964844,20.850000381469727,72.8499984741211,34.72608184814453,60.94239044189453,21.350000381469727,142.82666015625,5.0,153.18045043945312
2020-10-26,1847.4639892578125,419.88616943359375,172.28330993652344,376.9754943847656,11.850000381469727,29.850000381469727,29.75,35.29999923706055,74.19999694824219,0.800000011920929,265.25,20.100000381469727,71.9000015258789,34.867435455322266,61.10511016845703,22.899999618530273,142.92491149902344,4.75,152.27137756347656
2020-10-27,1852.3807373046875,419.208984375,182.9595947265625,385.2716064453125,12.0,29.399999618530273,29.600000381469727,34.54999923706055,74.3499984741211,0.75,263.70001220703125,19.549999237060547,71.69999694824219,34.82032012939453,62.08149719238281,22.100000381469727,143.07223510742188,4.699999809265137,155.4531707763672
2020-10-28,1831.39404296875,437.10528564453125,176.86582946777344,381.03338623046875,11.800000190734863,28.75,30.0,34.79999923706055,72.25,0.699999988079071,263.0,19.049999237060547,71.0999984741211,34.113548278808594,61.22715759277344,21.350000381469727,144.6439208984375,4.5,151.05926513671875
2020-10-29,1845.4608154296875,436.089599609375,174.62332153320312,378.9142150878906,10.949999809265137,28.399999618530273,29.149999618530273,33.900001525878906,70.5,0.6499999761581421,255.5500030517578,18.899999618530273,72.05000305175781,34.01930618286133,60.12872314453125,21.649999618530273,145.3806610107422,4.699999809265137,155.0743865966797
2020-10-30,1870.5902099609375,419.5959167480469,183.20335388183594,380.5373840332031,11.350000381469727,28.399999618530273,28.75,34.70000076293945,71.05000305175781,0.6000000238418579,253.64999389648438,18.549999237060547,71.1500015258789,34.6318473815918,60.088043212890625,21.450000762939453,141.6479034423828,4.599999904632568,152.8395538330078
2020-11-02,1709.3890380859375,442.47418212890625,178.86459350585938,381.70965576171875,11.800000190734863,27.700000762939453,27.950000762939453,33.900001525878906,68.80000305175781,0.6000000238418579,257.79998779296875,18.450000762939453,70.75,34.6318473815918,60.738975524902344,22.350000381469727,146.06826782226562,4.400000095367432,151.09716796875
2020-11-03,1684.760498046875,439.76556396484375,177.4995880126953,376.1639099121094,12.0,27.549999237060547,27.950000762939453,33.599998474121094,69.75,0.6000000238418579,259.75,18.25,70.94999694824219,35.6213264465332,60.16939926147461,22.100000381469727,138.602783203125,4.199999809265137,150.2259521484375
2020-11-04,1741.9388427734375,438.2661437988281,177.30458068847656,376.88531494140625,11.699999809265137,27.399999618530273,28.049999237060547,33.29999923706055,68.6500015258789,0.550000011920929,264.25,18.0,71.75,34.5847282409668,59.8846321105957,22.350000381469727,142.18817138671875,4.0,152.1956329345703
2020-11-05,1779.9969482421875,442.3774719238281,185.73837280273438,396.1827087402344,11.5,27.25,28.100000381469727,33.099998474121094,68.5,0.550000011920929,275.70001220703125,18.149999618530273,75.1500015258789,34.6318473815918,60.088043212890625,22.0,142.97402954101562,3.799999952316284,153.7107696533203
2020-11-06,1847.509521484375,435.2189636230469,188.2733917236328,392.6658935546875,11.600000381469727,27.299999237060547,27.950000762939453,33.29999923706055,69.3499984741211,0.5,266.3999938964844,18.100000381469727,73.69999694824219,34.961669921875,60.901695251464844,21.950000762939453,142.6793212890625,3.950000047683716,159.0137481689453
2020-11-09,1867.13037109375,456.404296875,186.859619140625,397.7607727050781,11.300000190734863,28.200000762939453,27.600000381469727,33.25,69.44999694824219,0.44999998807907104,267.04998779296875,18.0,73.55000305175781,34.914554595947266,60.65761184692383,21.649999618530273,148.4748992919922,3.799999952316284,156.66529846191406
2020-11-10,1897.9503173828125,451.1805114746094,188.2733917236328,396.76885986328125,10.800000190734863,27.799999237060547,27.649999618530273,33.150001525878906,68.6500015258789,0.5,273.1000061035156,18.149999618530273,74.19999694824219,34.72608184814453,62.08149719238281,21.649999618530273,147.0996856689453,3.950000047683716,153.18045043945312
2020-11-11,1818.41943359375,462.9823913574219,190.41839599609375,399.0683288574219,10.5,27.950000762939453,27.799999237060547,33.150001525878906,68.94999694824219,0.550000011920929,269.1000061035156,18.049999237060547,73.1500015258789,34.30202102661133,60.861026763916016,22.0,145.9700469970703,3.8499999046325684,152.95318603515625
2020-11-12,1802.759033203125,464.19158935546875,193.48965454101562,398.6174011230469,10.5,28.0,28.149999618530273,34.150001525878906,69.19999694824219,0.5,269.1499938964844,18.0,73.8499984741211,34.72608184814453,60.901695251464844,23.100000381469727,146.90322875976562,4.0,152.23348999023438
2020-11-13,1817.6910400390625,460.22540283203125,187.83462524414062,383.0622253417969,10.5,28.200000762939453,28.899999618530273,34.900001525878906,68.44999694824219,0.550000011920929,267.1499938964844,17.950000762939453,75.9000015258789,34.77320098876953,61.552616119384766,23.049999237060547,140.9111785888672,4.199999809265137,152.15774536132812
2020-11-14,1823.06298828125,465.78778076171875,188.2733917236328,384.6854248046875,10.649999618530273,28.399999618530273,28.950000762939453,34.599998474121094,69.25,0.550000011920929,273.29998779296875,18.350000381469727,75.80000305175781,35.10302734375,61.95944595336914,23.149999618530273,144.39834594726562,4.400000095367432,153.90016174316406
2020-11-17,1814.822998046875,468.7382507324219,184.81211853027344,375.3523254394531,10.449999809265137,28.5,28.5,33.849998474121094,68.5,0.6000000238418579,269.0,18.100000381469727,76.0999984741211,35.055908203125,61.95944595336914,23.649999618530273,146.80499267578125,4.300000190734863,152.15774536132812
2020-11-18,1809.314697265625,462.7889099121094,185.73837280273438,376.4344482421875,10.25,31.350000381469727,29.149999618530273,35.20000076293945,74.1500015258789,0.6499999761581421,268.29998779296875,19.0,76.19999694824219,35.338619232177734,62.81377410888672,23.200000762939453,145.2333221435547,4.5,152.0062255859375
2020-11-19,1796.5223388671875,453.2603454589844,181.69210815429688,380.26690673828125,10.350000381469727,32.099998474121094,31.0,36.400001525878906,70.3499984741211,0.699999988079071,266.0,19.950000762939453,76.44999694824219,35.291500091552734,63.22059631347656,22.899999618530273,144.3492431640625,4.699999809265137,150.41534423828125
2020-11-20,1729.4652099609375,467.9159851074219,180.8633575439453,386.71441650390625,10.25,31.700000762939453,30.049999237060547,35.849998474121094,71.05000305175781,0.75,263.6499938964844,20.100000381469727,75.19999694824219,38.44841384887695,65.90565490722656,22.850000381469727,143.95631408691406,4.550000190734863,150.94564819335938
2020-11-23,1776.08203125,461.67645263671875,182.52085876464844,387.1201171875,10.25,30.649999618530273,30.399999618530273,35.650001525878906,71.75,0.800000011920929,259.95001220703125,19.850000381469727,75.5,37.55316925048828,64.8072280883789,22.850000381469727,143.3178253173828,4.400000095367432,151.3244171142578
2020-11-24,1788.2369384765625,458.7743225097656,183.59336853027344,384.36981201171875,10.199999809265137,30.049999237060547,29.950000762939453,34.95000076293945,71.6500015258789,0.8500000238418579,262.0,20.049999237060547,75.44999694824219,37.36470031738281,64.88858795166016,23.0,151.27447509765625,4.400000095367432,158.2561798095703
2020-11-25,1773.4415283203125,448.9555358886719,183.69085693359375,375.21710205078125,10.199999809265137,29.899999618530273,29.299999237060547,34.0,70.19999694824219,0.8999999761581421,265.1000061035156,19.700000762939453,77.30000305175781,37.08198928833008,64.11561584472656,22.75,153.6811065673828,4.449999809265137,152.95318603515625
2020-11-26,1777.8118896484375,453.1152648925781,185.00711059570312,379.04949951171875,10.199999809265137,30.25,29.5,34.150001525878906,69.8499984741211,0.8500000238418579,266.04998779296875,20.600000381469727,77.0999984741211,37.03487014770508,64.84789276123047,22.850000381469727,152.25677490234375,4.650000095367432,152.9153289794922
2020-11-27,1757.052978515625,448.1333312988281,187.93214416503906,396.7237854003906,10.199999809265137,30.700000762939453,29.700000762939453,34.099998474121094,69.94999694824219,0.800000011920929,270.54998779296875,21.600000381469727,77.6500015258789,37.45893478393555,65.78359985351562,22.799999237060547,152.74790954589844,4.449999809265137,153.8623046875
