Date,^BSESN,RELIANCE.NS,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,TCS.NS,KOTAKBANK.NS,ITC.NS,HINDUNILVR.NS,LT.NS,SBIN.NS,AXISBANK.NS,BAJFINANCE.NS,BHARTIARTL.NS,ASIANPAINT.NS,MARUTI.NS,M&M.NS,HCLTECH.NS,TITAN.NS,SUNPHARMA.NS,BAJAJFINSV.NS,TATASTEEL.NS,ULTRACEMCO.NS,POWERGRID.NS,NTPC.NS,NESTLEIND.NS,TECHM.NS,WIPRO.NS,INDUSINDBK.NS,DRREDDY.NS
2023-07-21,66684.2578125,2521.25634765625,1653.1751708984375,972.3810424804688,1307.2171630859375,3312.288330078125,1966.4237060546875,474.92742919921875,2560.0986328125,2537.38818359375,604.955078125,970.5509643554688,7543.87890625,877.0610961914062,3477.919189453125,9588.400390625,1512.4259033203125,1073.673583984375,2966.593017578125,1083.6500244140625,1631.8204345703125,114.29717254638672,8034.61328125,171.82461547851562,187.24679565429688,2268.70703125,1160.8470458984375,403.8387451171875,1391.8974609375,5257.06884765625
2023-07-24,66384.78125,2470.26025390625,1655.7894287109375,967.5044555664062,1312.1256103515625,3338.29833984375,1893.6136474609375,456.4319152832031,2536.7490234375,2556.029296875,607.4630737304688,970.7507934570312,7543.7294921875,879.189453125,3503.625244140625,9514.5498046875,1535.606201171875,1071.21923828125,2969.4833984375,1086.8599853515625,1656.4549560546875,113.2188949584961,8134.21435546875,174.18270874023438,188.0145721435547,2252.6708984375,1128.5499267578125,403.19012451171875,1419.9361572265625,5359.9599609375
2023-07-25,66355.7109375,2468.67138671875,1673.7442626953125,970.1378173828125,1310.1622314453125,3342.625,1871.9053955078125,447.6683349609375,2524.85302734375,2512.51708984375,599.5457763671875,961.7577514648438,7568.45556640625,874.73486328125,3361.94580078125,9577.1630859375,1554.3687744140625,1069.9197998046875,3019.12109375,1081.5758056640625,1647.8104248046875,116.89483642578125,8305.857421875,176.7871856689453,192.57339477539062,2248.01171875,1123.3533935546875,399.5478820800781,1399.908447265625,5393.4609375
2023-07-26,66707.203125,2508.79296875,1667.9237060546875,971.8445434570312,1324.1512451171875,3331.955810546875,1891.66748046875,457.3034362792969,2539.74755859375,2596.25439453125,605.0043334960938,976.0466918945312,7396.02099609375,880.4268798828125,3334.855712890625,9574.9541015625,1533.6207275390625,1073.240478515625,2998.53857421875,1098.3172607421875,1625.4244384765625,117.58100891113281,8265.333984375,176.6815948486328,193.4851531982422,2250.6767578125,1110.4345703125,401.89288330078125,1412.02392578125,5443.4150390625
2023-07-27,66266.8203125,2485.454833984375,1650.6102294921875,965.797607421875,1328.37255859375,3340.41259765625,1870.15869140625,450.331298828125,2526.5244140625,2609.94091796875,606.3811645507812,959.1597900390625,7247.7158203125,886.1187744140625,3331.29638671875,9572.2548828125,1436.879150390625,1075.50244140625,2992.308837890625,1120.9847412109375,1613.5321044921875,117.43397521972656,8239.3876953125,176.4704132080078,193.82106018066406,2203.8271484375,1068.3756103515625,399.098876953125,1400.056884765625,5474.58056640625
2023-07-28,66160.203125,2510.431640625,1621.359619140625,971.6007690429688,1315.9542236328125,3299.6025390625,1873.2528076171875,453.62371826171875,2541.025634765625,2599.4921875,605.889404296875,949.2174682617188,7344.728515625,886.0692749023438,3352.35546875,9490.5048828125,1457.130859375,1062.2193603515625,2977.258056640625,1128.5179443359375,1583.8507080078125,118.21817016601562,8257.779296875,181.74974060058594,201.5470428466797,2219.187255859375,1059.7791748046875,397.9013977050781,1386.556640625,5550.13330078125
2023-07-31,66527.671875,2531.68408203125,1628.955810546875,973.64892578125,1330.875732421875,3364.55419921875,1852.99169921875,450.96075439453125,2517.626953125,2630.691650390625,609.9710083007812,953.1644287109375,7263.83447265625,880.9218139648438,3339.15673828125,9638.1572265625,1464.4769287109375,1074.876708984375,2994.25244140625,1133.3251953125,1597.2923583984375,120.71781158447266,8269.1123046875,187.27545166015625,209.56092834472656,2226.334228515625,1083.5284423828125,404.18798828125,1402.1832275390625,5607.2451171875
2023-08-01,66459.3125,2495.88232421875,1639.8570556640625,969.991455078125,1340.201904296875,3394.6455078125,1846.4541015625,450.0892333984375,2508.090576171875,2639.89794921875,601.7586669921875,959.1597900390625,7233.3876953125,882.6541137695312,3305.1455078125,9536.091796875,1482.4949951171875,1095.8604736328125,2992.109375,1133.3746337890625,1571.358642578125,120.7668228149414,8232.9755859375,177.24473571777344,216.08718872070312,2230.322265625,1110.725830078125,406.083984375,1379.2874755859375,5633.6884765625
2023-08-02,65782.78125,2469.217529296875,1618.4000244140625,962.5791625976562,1332.0047607421875,3383.43505859375,1820.20458984375,445.5379943847656,2525.639404296875,2601.6982421875,588.5797119140625,944.5210571289062,7167.46875,869.2408447265625,3324.869873046875,9474.3115234375,1474.503662109375,1088.5450439453125,2967.440185546875,1125.2469482421875,1526.0372314453125,116.60075378417969,8238.841796875,174.95703125,210.28074645996094,2258.81103515625,1112.8143310546875,401.9427795410156,1366.083984375,5627.12744140625
2023-08-03,65240.6796875,2458.83935546875,1606.709716796875,941.171142578125,1339.318359375,3343.41162109375,1819.7554931640625,441.6161193847656,2508.287109375,2577.8359375,580.7608642578125,934.8285522460938,7072.84375,862.9053955078125,3298.6201171875,9454.400390625,1458.470947265625,1083.34716796875,2892.635009765625,1130.9462890625,1492.708251953125,115.86557006835938,8088.1845703125,175.06259155273438,211.240478515625,2218.683837890625,1110.046142578125,398.79949951171875,1349.5179443359375,5626.18310546875
