Date,ULTRACEMCO.NS,SHREECEM.NS,AMBUJACEM.NS,ACC.NS,RAMCOCEM.NS,JKCEMENT.NS,DALBHARAT.NS,BIRLACORPN.NS,JKLAKSHMI.NS,HEIDELBERG.NS,INDIACEM.NS,ORIENTCEM.NS,STARCEMENT.NS,PRSMJOHNSN.NS,SAGCEM.NS,SANGHIIND.NS,NCLIND.NS,DECCANCE.NS,KCP.NS,MANGLMCEM.NS
2022-05-20,6030.1845703125,21782.150390625,359.8106689453125,2221.680908203125,683.668212890625,2420.653564453125,1381.3358154296875,1017.5611572265625,481.8858337402344,171.30430603027344,177.88417053222656,119.70457458496094,90.1500015258789,112.0999984741211,217.43540954589844,43.650001525878906,164.9770965576172,503.3608093261719,106.95612335205078,306.71405029296875
2022-05-23,5821.24609375,21723.2421875,360.2566833496094,2195.886474609375,671.60986328125,2408.002685546875,1349.5042724609375,985.9357299804688,458.0721740722656,172.68283081054688,175.49246215820312,117.09495544433594,89.5999984741211,113.05000305175781,220.4058380126953,42.650001525878906,164.0548858642578,500.90155029296875,107.9911880493164,313.88372802734375
2022-05-24,5773.771484375,21431.873046875,358.2742919921875,2193.4560546875,651.5950317382812,2346.57568359375,1305.28564453125,982.54736328125,446.8484802246094,170.2014923095703,170.3103790283203,115.01691436767578,90.55000305175781,113.0,215.7026824951172,41.099998474121094,163.4724578857422,479.55517578125,103.60449981689453,306.9612731933594
2022-05-25,5699.14013671875,21042.1953125,358.5220642089844,2168.802978515625,632.2225952148438,2293.945068359375,1274.0465087890625,938.4486083984375,435.03924560546875,165.74427795410156,162.4874725341797,112.40728759765625,89.44999694824219,106.9000015258789,206.64283752441406,39.849998474121094,158.5216827392578,446.6994934082031,104.34383392333984,304.7362060546875
2022-05-26,5779.8720703125,21475.236328125,362.1895446777344,2190.529541015625,658.2666015625,2335.06103515625,1316.9324951171875,989.815185546875,449.8739929199219,163.99815368652344,168.8155517578125,111.05415344238281,89.44999694824219,108.3499984741211,208.42510986328125,38.95000076293945,154.444580078125,453.0935974121094,102.7173080444336,313.14202880859375
2022-05-27,5852.43701171875,21708.740234375,363.0816345214844,2180.658203125,667.1127319335938,2314.453857421875,1317.5740966796875,982.0071411132812,439.0895080566406,169.51222229003906,161.98919677734375,114.82361602783203,90.69999694824219,107.69999694824219,207.1874237060547,39.650001525878906,155.22117614746094,462.97979736328125,101.78082275390625,308.6918640136719
2022-05-30,6004.6025390625,22236.78125,368.2854919433594,2190.876953125,678.6768188476562,2396.78466796875,1356.2652587890625,974.5427856445312,440.79742431640625,167.7201690673828,170.70901489257812,117.04662322998047,90.05000305175781,108.4000015258789,212.53421020507812,40.79999923706055,158.5216827392578,472.07904052734375,110.65276336669922,308.7908020019531
2022-05-31,5984.87451171875,21896.10546875,366.1544189453125,2181.00537109375,690.6362915039062,2354.5322265625,1344.81591796875,957.1094970703125,433.2825012207031,168.50131225585938,168.5166015625,120.67110443115234,88.5,107.94999694824219,212.68272399902344,39.79999923706055,158.76437377929688,476.2106018066406,109.12482452392578,322.28955078125
2022-06-01,5879.64306640625,21574.5390625,368.3846130371094,2178.475830078125,684.360107421875,2344.20361328125,1344.7171630859375,978.4713745117188,430.8425598144531,170.29339599609375,167.32073974609375,122.16922760009766,90.8499984741211,111.0,213.92041015625,38.95000076293945,158.95852661132812,481.4242248535156,108.13904571533203,313.6365051269531
2022-06-02,5911.32568359375,21419.3515625,370.2183837890625,2181.3525390625,687.0781860351562,2314.849365234375,1355.919921875,965.8997802734375,437.8207702636719,170.33935546875,168.01832580566406,124.68219757080078,89.6500015258789,111.8499984741211,214.96005249023438,38.349998474121094,164.20050048828125,482.9981384277344,107.05470275878906,314.0815124511719
