Date,RELIANCE.NS,ONGC.NS,IOC.NS,GAIL.NS,BPCL.NS,HINDPETRO.NS,IGL.NS,PETRONET.NS,OIL.NS,GSPL.NS,GUJGASLTD.NS,MGL.NS,CASTROLIND.NS,ATGL.NS,MRPL.NS,GULFOILLUB.NS,ALPHAGEO.NS,SELAN.NS,HINDOILEXP.NS
2020-09-01,1900.4088134765625,62.89208221435547,39.959999084472656,53.88302230834961,157.61367797851562,110.20217895507812,369.0935974121094,201.89991760253906,49.76210021972656,192.35838317871094,306.0290832519531,809.2723999023438,95.05834197998047,177.0347137451172,31.013694763183594,605.4205932617188,158.25343322753906,104.74873352050781,77.9000015258789
2020-09-02,1937.6929931640625,63.645042419433594,40.26683807373047,54.38608932495117,160.2067108154297,110.80934143066406,375.0829772949219,198.96124267578125,51.190673828125,192.35838317871094,303.8849182128906,816.1513671875,97.86495208740234,189.7728271484375,31.309062957763672,604.56591796875,159.23118591308594,110.05599975585938,75.8499984741211
2020-09-03,1923.0341796875,62.654327392578125,40.172428131103516,54.833248138427734,159.9938507080078,110.28496551513672,382.9440002441406,197.92645263671875,51.375858306884766,193.22096252441406,301.156005859375,827.4973754882812,98.7191390991211,189.67294311523438,31.013694763183594,604.9707641601562,160.9073028564453,109.54389953613281,73.1500015258789
2020-09-04,1891.3038330078125,61.74283218383789,39.605953216552734,54.80530548095703,156.1042938232422,108.79461669921875,375.0829772949219,194.65667724609375,50.02665328979492,190.4894256591797,299.1093444824219,815.1240844726562,97.82426452636719,187.72474670410156,31.013694763183594,599.7977905273438,157.55506896972656,104.70217895507812,72.6500015258789
2020-09-07,1896.220458984375,60.59356689453125,39.558746337890625,53.51970672607422,154.8852081298828,108.98782348632812,372.2286682128906,196.10531616210938,50.31766128540039,186.41604614257812,293.31036376953125,807.7536010742188,96.52265167236328,194.6682891845703,29.97990608215332,592.3306274414062,154.94776916503906,105.86605072021484,73.8499984741211
2020-09-08,1918.4818115234375,59.008392333984375,39.063087463378906,52.84896469116211,159.49072265625,109.67778015136719,365.2566833496094,194.90499877929688,50.07956314086914,190.10604858398438,281.76116943359375,795.6483154296875,97.33616638183594,190.871826171875,28.798431396484375,573.0780639648438,153.8769073486328,103.4451904296875,71.25
2020-09-09,1967.8756103515625,57.62135696411133,38.0245475769043,50.89263153076172,157.11053466796875,106.94550323486328,366.3796691894531,194.98779296875,49.41818618774414,189.18624877929688,285.13818359375,798.9091186523438,97.49886322021484,198.01515197753906,28.552289962768555,560.9328002929688,150.57122802734375,100.41911315917969,69.1500015258789
2020-09-10,2106.86083984375,58.37432098388672,39.440731048583984,50.75289535522461,166.5344696044922,111.05773162841797,363.385009765625,195.608642578125,49.70919418334961,189.18624877929688,287.3895568847656,800.8299560546875,96.68534851074219,208.10574340820312,29.53685188293457,562.1156005859375,151.64210510253906,101.58300018310547,73.8499984741211
2020-09-11,2112.09619140625,58.09691619873047,39.22830581665039,50.724945068359375,165.9345703125,109.9261703491211,377.2821350097656,195.48446655273438,49.9737434387207,191.6551513671875,289.49407958984375,809.4956665039062,97.49886322021484,207.15663146972656,29.487625122070312,574.3533325195312,151.40928649902344,101.21055603027344,73.69999694824219
2020-09-14,2096.436279296875,58.37432098388672,39.03947830200195,51.395694732666016,161.44515991210938,108.21504974365234,382.5696105957031,195.9397735595703,50.44993209838867,207.8240966796875,292.6753234863281,830.6242065429688,97.78358459472656,204.05950927734375,29.389169692993164,596.4176025390625,152.4801483154297,104.84184265136719,76.5
2020-09-15,2111.27685546875,58.493202209472656,38.827049255371094,51.47953414916992,160.38084411621094,109.42939758300781,392.9106140136719,199.08538818359375,50.7144889831543,211.60008239746094,298.2547912597656,836.69921875,97.74291229248047,206.95680236816406,29.192256927490234,590.9129638671875,153.690673828125,104.09696960449219,75.1500015258789
2020-09-16,2116.466552734375,57.89876174926758,39.03947830200195,51.33979034423828,159.85838317871094,107.85626220703125,386.68731689453125,196.76756286621094,49.682735443115234,202.78945922851562,297.76531982421875,825.5771484375,95.74981689453125,204.55905151367188,28.896888732910156,622.9402465820312,153.4113311767578,110.56810760498047,79.5
2020-09-17,2092.976318359375,57.9780158996582,38.6146240234375,50.724945068359375,160.8452606201172,108.6566390991211,394.4135437011719,193.5805206298828,50.264747619628906,200.32054138183594,298.2057800292969,827.7562255859375,96.48197174072266,200.21310424804688,28.601516723632812,606.653564453125,154.71495056152344,109.1249008178711,75.94999694824219
2020-09-18,2099.303955078125,58.889503479003906,38.095359802246094,51.47953414916992,159.4713592529297,107.11109924316406,395.7326354980469,188.90347290039062,51.13777160644531,203.41880798339844,310.2945556640625,834.5202026367188,96.92941284179688,193.11972045898438,28.404605865478516,598.874267578125,153.36476135253906,106.42472076416016,74.55000305175781
2020-09-21,2053.91650390625,56.3928337097168,36.679168701171875,49.29961395263672,155.36895751953125,104.43400573730469,391.2099914550781,185.8406219482422,49.49684143066406,197.56118774414062,302.1211853027344,804.7857666015625,93.63471221923828,186.1262664794922,27.66618537902832,592.5051879882812,147.49835205078125,102.04854583740234,69.6500015258789
2020-09-22,2013.2176513671875,55.08506393432617,35.947479248046875,47.035858154296875,151.76966857910156,99.57661437988281,387.01708984375,182.1569061279297,47.42551040649414,193.1074676513672,300.0166931152344,772.9174194335938,91.03148651123047,188.27423095703125,26.976991653442383,576.3095092773438,143.82020568847656,99.44146728515625,69.3499984741211
2020-09-23,2031.1085205078125,53.6187744140625,35.853065490722656,47.90222930908203,150.02809143066406,97.89308166503906,384.09619140625,178.43185424804688,47.371707916259766,193.1074676513672,292.9689636230469,765.2909545898438,90.6654052734375,186.2261505126953,27.026220321655273,581.7232055664062,143.44773864746094,97.0671615600586,69.30000305175781
2020-09-24,1985.94873046875,52.82617950439453,33.9884147644043,46.393062591552734,146.0030975341797,95.10559844970703,370.5282287597656,174.41700744628906,45.542476654052734,188.94419860839844,289.5919494628906,742.7288818359375,87.73677825927734,175.08656311035156,26.287799835205078,566.5285034179688,137.95379638671875,95.25151824951172,68.9000015258789
2020-09-25,2004.6136474609375,54.60951614379883,34.97975158691406,47.62275314331055,145.42257690429688,98.58305358886719,379.9504089355469,181.49468994140625,47.04890060424805,188.7505645751953,291.15814208984375,745.6796264648438,89.3637924194336,183.57862854003906,26.583168029785156,580.4949340820312,140.2351837158203,98.92935943603516,71.69999694824219
2020-09-28,2017.861083984375,56.947654724121094,35.71144104003906,49.29961395263672,149.06056213378906,101.56372833251953,380.5157775878906,184.10223388671875,47.8021125793457,190.49331665039062,295.61187744140625,771.46484375,89.07906341552734,190.02261352539062,26.583168029785156,607.3359985351562,145.44976806640625,100.1397933959961,74.0
2020-09-29,2044.0831298828125,54.80766296386719,35.33379364013672,48.908348083496094,149.60235595703125,102.00531005859375,368.643798828125,181.78443908691406,47.613807678222656,196.0604705810547,303.29583740234375,759.0262451171875,89.3637924194336,191.1715545654297,26.04166030883789,608.5642700195312,145.7756805419922,99.1621322631836,72.75
2020-09-30,2034.3409423828125,54.88691711425781,34.88534164428711,48.51708221435547,136.63720703125,99.71460723876953,364.450927734375,182.65359497070312,48.04421615600586,201.9180908203125,301.8764953613281,753.6240234375,88.95703887939453,189.02352905273438,25.303237915039062,594.0974731445312,145.4031982421875,98.18447875976562,72.6500015258789
2020-10-01,2026.0555419921875,54.80766296386719,34.97975158691406,49.411407470703125,136.73397827148438,96.8719253540039,377.9246520996094,182.6949920654297,47.72140884399414,197.22232055664062,304.2746887207031,784.4935913085938,89.40446472167969,193.16969299316406,25.94320297241211,584.9533081054688,145.9153594970703,98.18447875976562,70.05000305175781
2020-10-05,2014.1737060546875,54.8472900390625,35.66423797607422,48.628875732421875,137.0629425048828,96.9271240234375,367.0419616699219,187.16510009765625,46.53778839111328,197.7064208984375,304.9109191894531,775.6866455078125,89.85189056396484,199.2639923095703,26.533939361572266,589.0021362304688,150.99024963378906,98.92935943603516,68.75
2020-10-06,2012.4892578125,54.966182708740234,35.569828033447266,49.04808807373047,136.2501983642578,95.87837219238281,367.23046875,185.38534545898438,46.403289794921875,192.4297332763672,304.2746887207031,778.9097900390625,90.99080657958984,200.61273193359375,26.386255264282227,583.2245483398438,153.22509765625,105.21427917480469,76.9000015258789
2020-10-07,2055.418701171875,55.87765884399414,35.499019622802734,48.461185455322266,132.4573974609375,94.41563415527344,361.95404052734375,181.6188507080078,49.469940185546875,188.46009826660156,297.66741943359375,752.4891357421875,90.01460266113281,195.8172149658203,26.140113830566406,585.544677734375,153.690673828125,102.93309783935547,75.69999694824219
