Date,DMART.NS,FRETAIL.NS,ABFRL.NS,VMART.NS,TRENT.NS,SHOPERSTOP.NS,FLFL.NS,SPENCERS.NS,FCONSUMER.NS,FEL.NS,FMNL.NS,FSC.NS,ARVINDFASN.NS,CANTABIL.NS,KKCL.NS,SORILINFRA.NS,TCNSBRANDS.NS,V2RETAIL.NS,ZODIACLOTH.NS
2023-08-10,3598.199951171875,3.3499999046325684,213.35000610351562,2388.550048828125,1894.150390625,808.2000122070312,5.349999904632568,62.5,0.699999988079071,0.8500000238418579,5.199999809265137,9.949999809265137,323.3504333496094,217.35227966308594,692.1903076171875,,438.70001220703125,126.5,117.1500015258789
2023-08-11,3550.050048828125,3.3499999046325684,211.3000030517578,2338.5,1884.507080078125,816.7000122070312,5.349999904632568,61.900001525878906,0.699999988079071,0.8500000238418579,5.050000190734863,9.800000190734863,312.91015625,215.69859313964844,693.7861328125,,430.75,129.0,125.94999694824219
2023-08-14,3509.300048828125,3.200000047683716,211.9499969482422,2281.85009765625,1928.2769775390625,815.9000244140625,5.099999904632568,60.150001525878906,0.75,0.8999999761581421,5.25,9.600000381469727,304.01104736328125,209.14353942871094,692.3399658203125,,433.20001220703125,131.5500030517578,124.05000305175781
2023-08-16,3499.35009765625,3.200000047683716,211.64999389648438,2256.39990234375,1955.2086181640625,815.4000244140625,5.099999904632568,60.099998474121094,0.800000011920929,0.8999999761581421,5.650000095367432,9.600000381469727,301.42584228515625,213.83566284179688,701.466064453125,,436.6499938964844,134.14999389648438,112.5
2023-08-17,3507.64990234375,3.200000047683716,214.10000610351562,2230.25,1973.446044921875,810.5999755859375,5.099999904632568,59.650001525878906,0.75,0.8999999761581421,5.800000190734863,9.399999618530273,301.02813720703125,207.96803283691406,710.0935668945312,,439.0,136.8000030517578,109.69999694824219
2023-08-18,3540.949951171875,3.200000047683716,214.85000610351562,2198.949951171875,1972.6466064453125,799.9000244140625,5.099999904632568,58.849998474121094,0.699999988079071,0.8999999761581421,5.699999809265137,9.5,303.0664367675781,205.7863311767578,710.1932373046875,,443.75,139.5,109.80000305175781
2023-08-21,3547.699951171875,3.049999952316284,217.14999389648438,2187.14990234375,1998.5787353515625,795.25,4.849999904632568,59.349998474121094,0.6499999761581421,0.8500000238418579,5.599999904632568,9.449999809265137,303.26531982421875,201.54249572753906,712.13818359375,,440.54998779296875,142.25,108.75
2023-08-22,3568.89990234375,3.049999952316284,219.1999969482422,2159.25,2026.4595947265625,789.7999877929688,4.849999904632568,59.75,0.699999988079071,0.8500000238418579,5.699999809265137,9.649999618530273,303.26531982421875,203.20616149902344,716.5765991210938,,435.25,145.0500030517578,108.5999984741211
2023-08-23,3539.300048828125,3.049999952316284,218.89999389648438,2189.60009765625,2049.543701171875,801.5499877929688,4.849999904632568,59.79999923706055,0.6499999761581421,0.8500000238418579,6.150000095367432,9.449999809265137,302.7681579589844,200.60606384277344,717.8731689453125,,424.6000061035156,147.9499969482422,112.3499984741211
2023-08-24,3561.5,3.049999952316284,219.5,2196.0,2067.63134765625,812.25,4.849999904632568,59.849998474121094,0.6000000238418579,0.8500000238418579,5.900000095367432,9.5,298.8406066894531,201.24362182617188,694.8334350585938,,415.45001220703125,148.89999389648438,110.44999694824219
