Date,LT.NS,ADANIPORTS.NS,POWERGRID.NS,NTPC.NS,GAIL.NS,NHPC.NS,IRB.NS,DBL.NS,KNRCON.NS,ASHOKA.NS,SADBHAV.NS,PNCINFRA.NS,NCC.NS,RELINFRA.NS,GAYAPROJ.NS,HGINFRA.NS,JKIL.NS,MEP.NS,RPPINFRA.NS,MONTECARLO.NS
2022-10-11,1843.4510498046875,788.6417236328125,139.9313507080078,150.63140869140625,80.5441665649414,35.591529846191406,21.26813507080078,220.2838897705078,225.9437713623047,77.0999984741211,13.350000381469727,264.7900085449219,69.52386474609375,149.85000610351562,11.5,571.31005859375,275.5708312988281,14.300000190734863,36.04999923706055,713.9974365234375
2022-10-12,1875.140869140625,795.1203002929688,144.7670135498047,154.32589721679688,80.684326171875,35.16949462890625,21.188940048217773,220.0839385986328,223.59591674804688,76.30000305175781,12.949999809265137,263.7913818359375,67.82341766357422,142.6999969482422,12.649999618530273,566.6207275390625,270.6145324707031,15.0,36.29999923706055,720.4271850585938
2022-10-13,1840.7039794921875,776.1793823242188,143.69241333007812,154.09207153320312,79.8433837890625,35.544639587402344,21.485910415649414,217.184814453125,221.69764709472656,75.94999694824219,12.75,263.19219970703125,67.19182586669922,142.35000610351562,13.350000381469727,558.2894897460938,268.63201904296875,15.699999809265137,35.849998474121094,697.0949096679688
2022-10-14,1875.4842529296875,771.5802001953125,142.81932067871094,154.41943359375,79.51634216308594,35.544639587402344,21.396820068359375,217.38475036621094,221.54779052734375,75.9000015258789,12.350000381469727,263.6914978027344,67.04607391357422,138.85000610351562,13.050000190734863,560.1852416992188,253.61439514160156,15.449999809265137,35.79999923706055,690.0319213867188
2022-10-17,1847.6207275390625,777.6135864257812,142.28204345703125,157.55270385742188,79.46963500976562,36.90452194213867,23.66865348815918,220.433837890625,219.74942016601562,75.75,11.800000190734863,262.4432067871094,68.01776123046875,138.6999969482422,13.550000190734863,551.5048217773438,235.5734100341797,14.800000190734863,35.20000076293945,682.335693359375
2022-10-18,1881.8614501953125,801.1041870117188,142.6178436279297,156.14971923828125,79.42290496826172,39.34294128417969,23.36673355102539,219.6340789794922,219.2498779296875,75.94999694824219,12.600000381469727,262.2434997558594,69.13519287109375,143.6999969482422,13.199999809265137,569.21484375,228.9815216064453,14.899999618530273,35.79999923706055,706.7882690429688
2022-10-19,1868.9107666015625,796.2576293945312,143.65884399414062,153.43734741210938,79.23603057861328,37.701698303222656,23.38652992248535,218.58438110351562,217.251708984375,75.44999694824219,12.5,259.2974853515625,71.02996826171875,141.35000610351562,14.449999809265137,571.5595092773438,231.3605499267578,14.550000190734863,36.099998474121094,701.332763671875
2022-10-20,1868.1749267578125,811.0938720703125,146.07666015625,156.14971923828125,81.71215057373047,37.420345306396484,23.94582748413086,220.3338623046875,204.96292114257812,75.1500015258789,12.449999809265137,257.2003479003906,70.34980010986328,139.10000610351562,13.850000381469727,568.5662841796875,225.9581756591797,15.25,35.75,699.6278686523438
2022-10-21,1841.2926025390625,792.8948364257812,145.94235229492188,154.37265014648438,80.77777099609375,38.92090606689453,22.79258918762207,218.3844451904297,214.7539825439453,73.94999694824219,12.25,257.1004943847656,69.62103271484375,139.14999389648438,13.25,572.906494140625,216.24380493164062,15.050000190734863,35.79999923706055,687.8399047851562
2022-10-24,1873.669189453125,796.7027587890625,146.98333740234375,156.14971923828125,81.10480499267578,40.280799865722656,23.807239532470703,219.83401489257812,211.8566436767578,75.80000305175781,12.600000381469727,259.5471496582031,70.10687255859375,139.14999389648438,13.399999618530273,576.7976684570312,220.70448303222656,14.800000190734863,36.400001525878906,705.1321411132812
2022-10-25,1912.2757568359375,791.6089477539062,146.74827575683594,158.3944854736328,80.87120819091797,42.34407424926758,23.495420455932617,220.03396606445312,218.70037841796875,73.94999694824219,12.449999809265137,256.6011657714844,71.37005615234375,141.60000610351562,13.449999809265137,573.6049194335938,222.34007263183594,14.600000381469727,35.849998474121094,691.7854614257812
2022-10-27,1926.943359375,812.2808227539062,150.37501525878906,159.61038208007812,82.27278900146484,42.53164291381836,23.37168312072754,218.93429565429688,222.1971893310547,74.8499984741211,12.550000190734863,257.35015869140625,71.71015167236328,141.85000610351562,13.0,566.9699096679688,241.471435546875,14.550000190734863,35.849998474121094,696.9974975585938
2022-10-28,1937.735595703125,811.3411254882812,152.32272338867188,162.79043579101562,84.14156341552734,40.98418426513672,23.139055252075195,217.3347625732422,220.5487060546875,73.94999694824219,12.350000381469727,257.49993896484375,71.95307159423828,141.89999389648438,12.449999809265137,566.0220336914062,255.10128784179688,14.899999618530273,35.650001525878906,690.8112182617188
2022-10-31,1984.877685546875,814.5556640625,153.22940063476562,161.90188598632812,85.3095474243164,39.95254898071289,23.139055252075195,215.1354217529297,222.3970184326172,74.0,12.350000381469727,257.6497497558594,72.53607940673828,141.4499969482422,13.050000190734863,566.2714233398438,268.0372314453125,14.949999809265137,36.650001525878906,700.8943481445312
